userName,score,at,content
Asep Sunarya,5,2025-12-11 12:39:06,bagus apk nya
Supitarto Supitarto,1,2025-12-11 11:56:47,"digital?...but still need to register offline in front of the officer? it doesn't helpful. no need this apps, if still need to do offline, like there is gurantee to our data safely keep & confidential"
Fajran,1,2025-12-11 10:52:04,"Sistemnya lelet, sudah ke Dukcapil untuk Daftar Luring, alamat email aktif sudah bener, tapi sampai sekarang belum juga dikirim kode Verifikasi. gimana sih?"
Mersi Ani,5,2025-12-11 08:16:53,aplikasi ini memudahkan pengguna
Elika Saputri Syam,1,2025-12-11 07:42:50,jelek bet dah
Cahyo Budi,1,2025-12-11 06:05:14,kenapa ya saya bkin dominisil sementara kok lama gak di proses
Agus Suprianto,2,2025-12-11 05:27:32,"tolong Apk Nya Di update agar tidak menyulitkan Pengguna,, Susah di gunakan Apk yg bikin Kecewa"
Pakdhe Samp,1,2025-12-11 05:14:42,pencurian data ini gak jelas
Arif Samsul,1,2025-12-11 04:17:14,loadingnya lama banget padahal sinyal kuat... ribet katanya mandiri tapi harus datang ke dukcapil dulu
ragilll official,2,2025-12-11 04:02:18,"aplikasi onlen tp harus bikin lewat petugas sipil jg,org ada onlen biar ga kesana kemari,sama ajah kurang membantu"
Dewi bundadidya,1,2025-12-11 03:56:45,"Setelah pembaruan malah tidak bisa dibuka sama sekali, untuk apa gunanya KTP digital kalau malah susah dibuka, kok lebih mending bawa KTP fisik saja😩"
Nandar Firmansyah,5,2025-12-11 03:27:35,sangat membatu
ady bagus,1,2025-12-11 02:52:11,"niat ada apk ini untuk mempermudah dengan serba mobile dan dimana saja,tetapi untuk mendaftar saja harus scan barcode ke petugas capil,kesannya sama saja bohong dong"
Prince Orion,1,2025-12-11 02:41:56,"kenapa harus dibatasi kompatibilitas perangkatnya? kenapa sekarang ga bisa lagi di install di android 10? tujuan aplikasi ini untuk mempermudah masyarakat kan? dan masyarakat ga semua punya android canggih. harusnya kompatibel juga untuk OS Android 8, 9, 10."
Adi Setiadi,1,2025-12-11 02:28:10,itu fitur di bagikan barcode ktp dan KK onlinenya kenapa gabisa dibuka di google?? ayolah jangan setengah setengah buat aplikasi. dana pembuatan aplikasi online pasti ada kan. jangan setengah setengah dong. kasih yg terbaik.
Fajar Pamungkas,1,2025-12-11 02:07:32,Seperti biasa tidak ada yang bisa di harapkan dari Aplikasi terbitan pemerintah. hanya sekedar daftar akun saja ribet parah. buat rekening BCA via online saja tidak se rumit ini
NYATA ADANYA,1,2025-12-11 00:46:05,bingung mau ulasan apa diantaranya udah punyak akun udah sukses kepakai lah beberapa bulan gk buka aplikasi sekali buka ribet kali mau masuk pin salah isi data lah aaaargh sudahlah
Destin Alfianika Maharani,3,2025-12-11 00:01:53,seharusnya ketika login langsung masuk. ini sering bgt login g bs dan harus mengulang dari 0
Pujho Stoner,5,2025-12-10 18:33:03,good
Helmi Yuliansyah,1,2025-12-10 15:17:49,aplikasi banyak bot
Soewandi Email,1,2025-12-10 14:10:32,saya sudah datang ke kelurahan alasan hp tidak suport . bagaimana ini
RM Riduan,1,2025-12-10 12:10:48,"Aplikasi ikd ini diinfokan memudahkan masyarakat Indonesia, namun reelnya tidak bisa digunakan oleh masyarakat, mohon promosinya jangan muluk², katakan saja, itu hanya untuk instansi yang berwenang, jangan disebarkan, memudahkan/ bisa lihat, cetak, dll-nya secara mandiri, kecewa dg muluknya promosi aplikasi ikd ini."
Medi Yarli,5,2025-12-10 10:09:02,ok
